2021-01-01/19:00:04		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-01-01/19:00:05		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-01-01/19:00:05		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-01-01/19:00:05		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-01-01/19:00:06		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-01-01/19:00:06		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-01-01/19:00:06		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-01-01/19:00:07		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-01-01/19:00:07		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-01-01/19:07:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-01-01/19:07:34		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-01-01/19:07:34		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-01-01/19:07:35		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-01-01/19:07:35		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-01-01/19:07:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-01-01/19:07:36		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-01-01/19:07:36		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-01-01/19:07:36		 wafer_29012020_050617.csv: File Transformed successfully!!
